,title,company,location,link,description,skills
0,Nail Technician (FT),J'adore Nails Salon & Spa,"Bedford, NS",https://www.monster.ca/job-openings/nail-technician-ft-bedford-07--5e463620-dce1-45b7-a4a0-e196f223d795?sid=0bdea9f4-849a-4697-8a79-a9b29494fd9a&jvo=m.go.sc.1&_ga=2.86125213.446530964.1651870878-949327695.1651870878&hidesmr=1,"<section class=""cached-bot-fjv-skeletonstyle__CachedSkeletonDescription-sc-gqtazs-0 gbrdjA""><div>J’adore Nails Salon &amp; Spa is currently seeking for motivated and talented Nail Technician to join our team. If you have experience in the nail/spa industry and enjoy making people look and feel their best, then we would love to hear from you. The Nail Technician’s responsibilities include welcoming and greeting clients, and providing clients with high quality manicures, pedicures, and nail enhancement services. The Nail Technician is also responsible for answering clients’ nail relating questions.<br/><br/></div><div><strong>Primary Duties: </strong></div><ul><li>Provides high quality manicures and pedicures.</li><li>Applies artificial nails (acrylic and bio gel).</li><li>Shellac/gel polish application</li><li>Sterilize all nail instruments and equipment before each use.</li><li>Recommend various nail designs and nail art to clients.</li><li>Clean and prepare workstations before and after appointments.</li><li>Ensure that workstations are kept clean and orderly.</li><li>Interact with clients and salon staff in a professional manner.</li></ul><div><br/><strong>Qualifications/Skills: </strong></div><ul><li>Possess a valid Nail Technician Licence from the Cosmetology Association of Nova Scotia.</li><li>Be committed to customer service.</li><li>Detailed oriented and patient.</li><li>Excellent hand-eye coordination.</li><li>The ability to concentrate for extended periods of time.</li><li>Be committed to continuous learning and improvement in skillset.</li><li>Understand and implement sanitation and sterilization standards.</li></ul><div><br/><strong>What we offer: </strong></div><ul><li>Training to all our employees.</li><li>Assistance in building clientele.</li><li>A salon located in a high traffic area.</li></ul><div><br/><strong>Compensation:</strong><br/>Commission based, depends on experience.<br/><br/></div><div><strong>How to Apply:</strong></div><div>To apply for this position please email your resume to <p>thuy.nguyen@jadorenails.ca</p>.<br/><br/></div><div><strong>Website:</strong><a href=""http://www.jadorenails.ca"" rel=""nofollow nofollow"">http://www.jadorenails.ca<br/></a><br/></div></section>","['Provides high quality manicures and pedicures.', 'Be committed to customer service.', 'Understand and implement sanitation and sterilization standards.', 'Training to all our employees.', 'Possess a valid Nail Technician Licence from the Cosmetology Association of Nova Scotia.', 'Shellac/gel polish application', 'Clean and prepare workstations before and after appointments.', 'Sterilize all nail instruments and equipment before each use.', 'Detailed oriented and patient.', 'Excellent hand-eye coordination.', 'Recommend various nail designs and nail art to clients.', 'Ensure that workstations are kept clean and orderly.', 'Be committed to continuous learning and improvement in skillset.']"
1,title,company,location,link,description,[]
2,Hairstylist,Ella Hair Lash & Nail studio,"Grande Prairie, Alberta, Canada",https://ca.linkedin.com/jobs/view/hairstylist-at-ella-hair-lash-nail-studio-3047579794?refId=BZqr2KgpQsPganLbTjmqPA%3D%3D&trackingId=bFyAGP%2Fv1TtYkmJsMOL0VQ%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card,"
        Chair rental opportunityAre you looking to be self employed, non commission based and part of a fabulous team? This can be a great opportunity for someone that is friendly, motivated, and has a great clientele list! <br>We are offering the right Gal, an opportunity to thrive in a new, gorgeous space, where we will be providing such Gal with everything except for tools, color line and products<br><br>We at Ella feel that our clients are very special to us and we treat them like family. If this sounds like something of interest to you, please feel free to give us a shout...!
      ",[]
3,title,company,location,link,description,[]
4,manicurist,Bombshell Bar a Beaute,"Montréal, QC",https://ca.indeed.com/company/steffs-hair-salon/jobs/Manicurist-09328cadd10eb5fe?fccid=c5532e44d0695976&vjs=3,"<div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText""><p>looking for a manicure and pedicurist</p><p>part time</p><p>19$/hr or commission offered</p><p>Work Remotely</p><ul><li>No</li></ul><p>Job Type: Part-time<br/>Part-time hours: 15 per week</p><p>Salary: $18.00-$20.00 per hour</p><p>Additional pay:</p><ul><li>Tips</li></ul><p>Schedule:</p><ul><li>10 hour shift</li><li>8 hour shift</li><li>Every Weekend</li><li>Weekend availability</li></ul><p>Experience:</p><ul><li>Nail Technicians: 1 year (preferred)</li></ul></div>","['Additional pay:', 'Nail Technicians: 1 year (preferred)', 'Work Remotely', 'Experience:']"
5,newnail care technician,Amazing Nails & Spa,"Sherwood Park, AB+1 location",https://ca.indeed.com/rc/clk?jk=2ca3d9efac9caf81&fccid=eed1f90e6e3be71e&vjs=3,"<div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText"">
<div>
<h2 class=""jobSectionHeader""><b>Esthetics Skills</b></h2>
<ul>
<li> Pedicures</li>
<li> Manicures</li>
</ul>
<h2 class=""jobSectionHeader""><b> Area of Work Experience</b></h2>
<ul>
<li> Pedicurist</li>
<li> Manicurist</li>
</ul>
<h2 class=""jobSectionHeader""><b> Work Conditions and Physical Capabilities</b></h2>
<ul>
<li> Attention to detail</li>
<li> Hand-eye co-ordination</li>
<li> Combination of sitting, standing, walking</li>
</ul>
<h2 class=""jobSectionHeader""><b> Manicurists and Pedicurists Skills</b></h2>
<ul>
<li> Clean, trim and polish nails</li>
<li> Provide gel and acrylic nail extensions</li>
<li> Nail art technics</li>
</ul>
<h2 class=""jobSectionHeader""><b> Personal Suitability</b></h2>
<ul>
<li> Initiative</li>
<li> Effective interpersonal skills</li>
<li> Flexibility</li>
<li> Accurate</li>
<li> Team player</li>
<li> Excellent oral communication</li>
<li> Client focus</li>
<li> Interpersonal awareness</li>
<li> Dependability</li>
<li> Judgement</li>
<li> Reliability</li>
<li> Organized</li>
</ul>
<h2 class=""jobSectionHeader""><b> Screening questions</b></h2>
<ul>
<li> Are you currently legally able to work in Canada?</li>
<li> Do you have previous experience in this field of employment?</li>
</ul>
</div>
</div>","['Effective interpersonal skills', 'Clean, trim and polish nails', 'Are you currently legally able to work in Canada?', 'Interpersonal awareness', 'Do you have previous experience in this field of employment?', 'Excellent oral communication', 'Organized', 'Provide gel and acrylic nail extensions']"
6,Manicurist/Pedicurist,Downtown Spa & Relaxation Centre,"Georgetown, ON",https://ca.indeed.com/company/Downtown-Spa-&-Relaxation-Centre/jobs/Manicurist-Pedicurist-b89f0f9701e4025f?fccid=7984755d244d5c94&vjs=3,"<div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText"">
<p><b>Manicurists and pedicurists work exclusively on the hands and feet, providing treatments to groom fingernails and toenails, by cutting and shaping nails, maintaining nail beds and cuticles, giving massages, applying nail polish, or other nail applications. </b></p>
<p><b>Responsibilities include: keep tools clean and sanitized. Sterilize equipment and work stations. Explain services and retail products available to clients.</b></p>
<p><b>Attention to detail is a must, professional appearance and impeccable customer service is required.</b></p>
<p>Job Types: Full-time, Part-time</p>
<p>Additional pay:</p>
<ul>
<li>Commission pay</li>
<li>Tips</li>
</ul>
<p>COVID-19 considerations:<br/>Masks are worn by our team members. Clients wear masks only if Covid or Flu like symptoms are present.</p>
<p>Ability to commute/relocate:</p>
<ul>
<li>Georgetown, ON: reliably commute or plan to relocate before starting work (preferred)</li>
</ul>
</div>","['Additional pay:', 'Responsibilities include: keep tools clean and sanitized. Sterilize equipment and work stations. Explain services and retail products available to clients.']"
7,Manicurist,Geranium Nails and Spa,"Kamloops, BC",https://ca.indeed.com/company/Geranium-Nails-and-Spa/jobs/Manicurist-db7eba356a48d488?fccid=424d28d1bbd03724&vjs=3,"<div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText"">
<p>Busy Nail Salon is looking for trained manicurist(s). Job will include manicures; pedicures; waxing; facials and basic retail skills. Willing to train the right individuals.</p>
<p>Pay to commensurate based upon experience.</p>
<p>Job Types: Full-time, Part-time, Permanent<br/>Part-time hours: 20 per week</p>
<p>Salary: $15.00-$30.00 per hour</p>
<p>Additional pay:</p>
<ul>
<li>Bonus pay</li>
<li>Tips</li>
</ul>
<p>Benefits:</p>
<ul>
<li>Casual dress</li>
</ul>
<p>Schedule:</p>
<ul>
<li>8 hour shift</li>
</ul>
<p>COVID-19 considerations:<br/>All surfaces cleaned regularly; masks worn by customer(s) and staff; social distancing</p>
<p>Shift availability:</p>
<ul>
<li>Day Shift (required)</li>
</ul>
</div>","['Casual dress', 'Additional pay:', 'Pay to commensurate based upon experience.', 'Busy Nail Salon is looking for trained manicurist(s). Job will include manicures; pedicures; waxing; facials and basic retail skills. Willing to train the right individuals.']"
8,newnails and lashes applicator,Urban Oasis Salon & Spa Ltd.,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=82550cf635beebd6&fccid=e6fbd4bc03030977&vjs=3,"<div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText""><div><ul><li>or equivalent experience</li></ul><h2 class=""jobSectionHeader""><b>
Credentials (certificates, licences, memberships, courses, etc.)</b></h2><ul><li>
Manicurist's provincial licence</li><li>
Esthetician certification</li></ul><h2 class=""jobSectionHeader""><b>
Area of Work Experience</b></h2><ul><li>
Nail and lashes applicator</li><li>
Manicurist</li></ul><h2 class=""jobSectionHeader""><b>
Additional Skills</b></h2><ul><li>
Schedule and confirm appointments</li><li>
Own clientele</li></ul><h2 class=""jobSectionHeader""><b>
Work Conditions and Physical Capabilities</b></h2><ul><li>
Attention to detail</li></ul><h2 class=""jobSectionHeader""><b>
Manicurists and Pedicurists Skills</b></h2><ul><li>
Clean, trim and polish nails</li><li>
Provide gel and acrylic nail extensions</li><li>
Nail art technics</li></ul><h2 class=""jobSectionHeader""><b>
Personal Suitability</b></h2><ul><li>
Team player</li><li>
Excellent oral communication</li><li>
Client focus</li><li>
Reliability</li></ul><h2 class=""jobSectionHeader""><b>
Health benefits</b></h2><ul><li>
Health care plan</li><li>
Dental plan</li><li>
Vision care benefits</li></ul><h2 class=""jobSectionHeader""><b>
Financial benefits</b></h2><ul><li>
Gratuities</li></ul><h2 class=""jobSectionHeader""><b>
Long term benefits</b></h2><ul><li>
Other benefits</li></ul><h2 class=""jobSectionHeader""><b>
Screening questions</b></h2><ul><li>
Are you currently legally able to work in Canada?</li></ul></div></div>","['Own clientele', 'Clean, trim and polish nails', 'Other benefits', 'Schedule and confirm appointments', 'Are you currently legally able to work in Canada?', 'Dental plan', 'or equivalent experience', 'Excellent oral communication', 'Esthetician certification', 'Provide gel and acrylic nail extensions']"
9,Nail Care Technician,LUSTRY NAILS & SPA,"Fort Saskatchewan, AB",https://ca.indeed.com/company/Benedict-A-Santiagu/jobs/Nail-Care-Technician-2ee6bb1eff00730e?fccid=2166752df401a3a6&vjs=3,"<div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText"">
<p><b>Hiring</b></p>
<p>All applicants are welcome (including youth, aboriginals, newcomers/new immigrants, visible minorities, citizens and permanent residents).</p>
<p><b>Company Operating Name: </b>LUSTRY NAILS &amp; SPA</p>
<p><b>Business Address: </b>7951 90 St, Fort Saskatchewan, Alberta, T8L 1K5</p>
<p><b>Position Title: </b>Nail Care Technician</p>
<p><b>Number of Vacancies: </b>02</p>
<p><b>Job Duties: </b> Clean, trim and polish nails; Provide gel and acrylic nail extensions; Nail art technics; Waxing; Pedicures; Manicures; Foot massage; Eyebrow tinting; Facials; Sell establishments products; Schedule and confirm appointments; Perform cashiering duties.</p>
<p>Work in beauty salon with odours.</p>
<p><b>Employment Requirements: </b></p>
<p>Secondary (high) school graduation certificate or equivalent experience; Experience of one year or more as pedicurist, manicurist, esthetician.</p>
<p>Ability to handle Repetitive tasks; Attention to detail; Hand-eye co-ordination; Initiative; Flexibility; Team player; Client focus; Interpersonal awareness; Reliability; Organized.</p>
<p><b>Terms of Employment: </b>Full time, permanent, 40 hours/week</p>
<p><b>Wage: </b>$19.00/hour</p>
<p><b>Benefit Package: </b>Relocation costs covered by employer; 2 weeks of paid vacation</p>
<p><b>Language of work</b>: English</p>
<p><b>Location of Work: </b>7951 90 St, Fort Saskatchewan, Alberta, T8L 1K5</p>
<p><b>JOB CONTACT INFORMATION: </b><b>Email</b></p>
<p>Job Types: Full-time, Permanent</p>
<p>Salary: $19.00 per hour</p>
<p>Schedule:</p>
<ul>
<li>8 hour shift</li>
<li>Overtime</li>
<li>Weekend availability</li>
</ul>
</div>","['Hiring', 'Work in beauty salon with odours.', 'Location of Work: 7951 90 St, Fort Saskatchewan, Alberta, T8L 1K5', 'Terms of Employment: Full time, permanent, 40 hours/week', 'Secondary (high) school graduation certificate or equivalent experience; Experience of one year or more as pedicurist, manicurist, esthetician.', 'Business Address: 7951 90 St, Fort Saskatchewan, Alberta, T8L 1K5', 'Ability to handle Repetitive tasks; Attention to detail; Hand-eye co-ordination; Initiative; Flexibility; Team player; Client focus; Interpersonal awareness; Reliability; Organized.', 'Job Duties:  Clean, trim and polish nails; Provide gel and acrylic nail extensions; Nail art technics; Waxing; Pedicures; Manicures; Foot massage; Eyebrow tinting; Facials; Sell establishments products; Schedule and confirm appointments; Perform cashiering duties.']"
